fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,dependencia_alta,via_ingreso,derivacion_institucion,derivacion_fecha,derivacion_judicializa,derivacion2_institucion,derivacion2_fecha,derivacion2_judicializa,derivacion3_institucion,derivacion3_fecha,derivacion3_judicializa,denunciante_nacionalidad,denunciante_provincia,denunciante_localidad,denunciante_tipo,denunciante_como_conocio_la_linea,denunciante_genero,denunciante_edad_aparente,provincia_indec_id
2020-03-13,12:00,9405155505,Urgencia,Ciudadano,Si,Trata,Explotación laboral,Entre Ríos,Colonia San Justo,PNR - Línea 145,Línea 145,Protex,2020-06-24 10:45,Si,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Hombre,,30
2020-03-13,13:06,505155505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-03-13 13:00,Si,,,,,,,,,,Denunciante - ciudadano,Formación profesioal,Mujer,,06
2020-03-13,13:39,1505155505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,Flores,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-13 15:58,No,Policía Federal Argentina,2020-03-13 15:58,No,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Mujer,54,06
2020-03-13,15:34,3505155505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Don Orione,PNR - Línea 145,Línea 145,,,,,,,,,,,Buenos Aires,Don Orione,Denunciante - ciudadano,Derivado de otro CAJ,Mujer,33,06
2020-03-13,16:18,4505155505,Urgencia,Ciudadano,Si,Trata,"Ofrecimiento, violencia intrafamiliar",Misiones,,PNR - Línea 145,Línea 145,Protex,2020-03-13 16:47,No,,,,,,,Argentina,Misiones,Posadas,Denunciante - ciudadano,Por publicidad en internet,Hombre,,54
2020-03-13,16:33,5505155505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,Flores,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-13 17:11,No,Policía Federal Argentina,2020-03-13 17:11,No,,,,,,,Denunciante - ciudadano,Por publicidad en internet,,54,06
2020-03-13,18:59,6505155505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Protex,2020-03-13 18:54,Si,Área Legal del Programa Nacional de Rescate,2020-03-13 18:54,No,,,,,Buenos Aires,Don Orione,Denunciante - ciudadano,Surgió de entrevista en el mismo CAJ,Mujer,,06
2020-03-13,20:11,7505155505,Urgencia,Ciudadano,No,Trata,Posible captación,Río Negro,General Roca,PNR - Línea 145,Línea 145,Protex,2020-03-13 20:37,Si,,,,,,,Argentina,,,Denunciante - ciudadano,Por Recomendación,Mujer,26,62
2020-03-13,22:55,515155505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Morón,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-03-13 22:52,Si,Protex,2020-03-13 22:52,No,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Mujer,30,06
2020-03-13,23:15,1515155505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Morón,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-03-13 23:11,Si,Protex,2020-03-13 23:11,No,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Mujer,30,06
2020-03-14,17:10,3515155505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-03-14 17:04,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Hombre,35,02
2020-03-14,19:37,4515155505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Grand Bourg,PNR - Línea 145,Línea 145,Protex,2020-03-14 19:25,No,,,,,,,,,,Denunciante - ciudadano,Por Recomendación,Mujer,,06
2020-03-14,22:13,5515155505,Emergencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-14 22:05,No,Policía Federal Argentina,2020-03-14 23:01,No,,,,,,,Denunciante - ciudadano,Línea 145,Mujer,,06
2020-03-15,14:23,8425155505,Urgencia,Ciudadano,No,Trata,Posible captación,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Protex,2020-03-15 16:25,No,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,82
2020-03-16,00:49,5525155505,Urgencia,Ciudadano,No,Trata,"Explotación sexual, persona desaparecida",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-16 00:49,Si,Protex,2020-03-16 00:49,No,,,,Argentina,Buenos Aires,,Denunciante - ciudadano,"No sabe, no recuerda",Mujer,19,06
2020-03-16,13:36,6525155505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Chubut,Puerto Madryn,PNR - Línea 145,Línea 145,,,,,,,,,,,,,Denunciante - ciudadano,,,50,26
2020-03-16,15:13,7525155505,Urgencia,Ciudadano,No,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,José C. Paz,PNR - Línea 145,Línea 145,,,,,,,,,,,Buenos Aires,José C. Paz,Denunciante - ciudadano,Línea 145,Mujer,,06
2020-03-16,15:25,8435155505,Emergencia,Institución,No,Trata,Explotación sexual,Chubut,Puerto Madryn,PNR - Línea 145,Línea 145,Protex,2020-03-16 15:27,No,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,26
2020-03-16,19:27,9435155505,Emergencia,Ciudadano,No,Trata,Abuso sexual infantil,Buenos Aires,,PNR - Línea 145,Línea 145,Comisarías,2020-03-16 19:30,No,,,,,,,Argentina,Buenos Aires,,Denunciante - ciudadano,Por publicidad en internet,Mujer,42,06
2020-03-16,22:19,535155505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Mendoza,Godoy Cruz,PNR - Línea 145,Línea 145,Protex,2020-03-16 22:43,No,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Hombre,49,50
2020-03-17,01:06,1535155505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Chaco,General Pinedo,PNR - Línea 145,Línea 145,Protex,2020-03-17 01:27,No,Gendarmería Nacional Argentina,2020-03-17 01:27,No,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Mujer,40,22
2020-03-17,20:29,5535155505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Protex,2020-03-17 20:24,Si,,,,,,,,Tucumán,San Miguel de Tucumán,Denunciante - ciudadano,"No sabe, no recuerda",Mujer,,90
2020-03-17,22:23,6535155505,Urgencia,Ciudadano,No,Trata,Posible captación,,,PNR - Línea 145,Línea 145,Protex,2020-03-17 22:32,Si,,,,,,,,Córdoba,Río Tercero,Denunciante - ciudadano,Por publicidad en internet,Hombre,,
2020-03-17,22:23,7535155505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-17 23:25,Si,,,,,,,,,,Denunciante - ciudadano,Línea 145,Mujer,29,02
2020-03-18,03:10,8445155505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Chubut,Trelew,PNR - Línea 145,Línea 145,Protex,2020-03-18 03:05,Si,,,,,,,,,,Denunciante - ciudadano,Por Recomendación,Hombre,38,26
2020-03-18,10:37,2545155505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Mendoza,Mendoza,PNR - Línea 145,Línea 145,Protex,2020-03-18 10:55,Si,,,,,,,,,,Denunciante - ciudadano,Por Recomendación,Mujer,,50
2020-03-18,10:51,3545155505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Ranelagh,PNR - Línea 145,Línea 145,,,,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-03-18,14:11,5545155505,Urgencia,Ciudadano,No,Trata,Explotación laboral,San Juan,Villa Sarmiento,PNR - Línea 145,Línea 145,Protex,2020-03-18 16:05,No,,,,,,,Argentina,,,Denunciante - ciudadano,Folletos,Hombre,,70
2020-03-18,17:44,7545155505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-18 17:02,No,,,,,,,Argentina,,,Denunciante - ciudadano,Derivado de otro organismo,Mujer,,02
2020-03-19,20:02,9455155505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Mendoza,mendoza,PNR - Línea 145,Línea 145,Protex,2020-03-19 19:56,Si,,,,,,,,,,,,,,50
2020-03-19,20:42,2555155505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-19 20:31,Si,,,,,,,,,,,,,,06
2020-03-19,20:49,3555155505,Emergencia,Ciudadano,Si,Trata,Explotación laboral,Buenos Aires,Isidro Casanova,PNR - Línea 145,Línea 145,Protex,2020-03-19 20:45,Si,,,,,,,,,,,,,,06
2020-03-20,09:43,4555155505,Emergencia,Ciudadano,No,Trata,Explotación laboral,Buenos Aires,San Miguel del Monte,PNR - Línea 145,Línea 145,Protex,2020-03-20 09:38,Si,,,,,,,,,,,,,,06
2020-03-21,11:09,8465155505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Corrientes,Paso de los Libres,PNR - Línea 145,Línea 145,Protex,2020-04-17 14:49,No,,,,,,,Argentina,Corrientes,Paso de los Libres,Denunciante - ciudadano,Por publicidad en internet,Mujer,45,18
2020-03-23,18:22,3594255505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Isidro Casanova,PNR - Línea 145,Línea 145,Protex,2020-03-23 18:20,Si,,,,,,,,,,,,,,06
2020-03-23,18:53,7594255505,Urgencia,Ciudadano,Si,Trata,Privacion ilegitima,Buenos Aires,Pergamino,PNR - Línea 145,Línea 145,Comisarías,2020-03-23 18:48,Si,,,,,,,,,,,,,,06
2020-03-23,18:57,8405255505,Urgencia,Institución,No,Trata,Privacion ilegitima de la libertad,Buenos Aires,Pergamino,PNR - Línea 145,Línea 145,Comisarías,2020-03-23 18:54,Si,,,,,,,Argentina,Buenos Aires,Pergamino,Denunciante - ciudadano,Derivado de otro organismo,Mujer,,06
2020-03-24,08:12,9405255505,Urgencia,Ciudadano,No,Trata,Faltó aclarar,Río Negro,El Bolsón,PNR - Línea 145,Línea 145,Protex,2020-03-24 08:11,Si,,,,,,,,,,,,,,62
2020-03-24,08:55,7505255505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Protex,2020-03-24 08:54,Si,,,,,,,,,,,,,,06
2020-03-25,19:40,2525255505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Quilmes,PNR - Línea 145,Línea 145,Protex,2020-03-25 19:43,No,Ministerio de Seguridad,2020-03-25 19:43,No,,,,,,,,,,,06
2020-03-25,19:42,3525255505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Quilmes,PNR - Línea 145,Línea 145,Protex,2020-03-25 19:40,No,,,,,,,,,,,,,,06
2020-03-26,18:08,5525255505,Urgencia,Ciudadano,No,Trata,Trata de persona,Chaco,Resistencia,PNR - Línea 145,Línea 145,Protex,2020-03-26 22:49,Si,,,,,,,,,,,,,,22
2020-03-26,18:12,6525255505,Urgencia,Ciudadano,No,Trata,Secuestro,Mendoza,santa rosa,PNR - Línea 145,Línea 145,Protex,2020-03-26 18:09,Si,,,,,,,Argentina,Mendoza,Santa Rosa,Denunciante - ciudadano,Por Recomendación,Mujer,41,50
2020-03-26,18:24,7525255505,Urgencia,Ciudadano,No,Trata,Posible captación,Córdoba,Córdoba,PNR - Línea 145,Línea 145,Protex,2020-03-26 18:22,Si,,,,,,,,Córdoba,Córdoba,Denunciante - ciudadano,Por publicidad en internet,Hombre,38,14
2020-03-27,07:15,8435255505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-03-27 07:14,Si,,,,,,,,,,,,,,06
2020-03-28,02:27,9435255505,Emergencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-03-28 02:22,No,Área Legal del Programa Nacional de Rescate,2020-03-28 02:22,No,,,,,,,,,,,06
2020-03-28,02:33,535255505,Emergencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Gendarmería Nacional Argentina,2020-03-28 02:28,No,Área Legal del Programa Nacional de Rescate,2020-03-28 02:28,No,,,,,,,,,,,06
2020-03-28,03:26,2535255505,Emergencia,Institución,No,Trata,Persona desaparecida,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Gendarmería Nacional Argentina,2020-03-28 03:15,No,Área Legal del Programa Nacional de Rescate,2020-03-28 03:15,No,,,,,,,Denunciante - ciudadano,Por Recomendación,Mujer,,06
2020-03-28,03:38,3535255505,Urgencia,Ciudadano,Si,Trata,Explotación laboral,Córdoba,Río Cuarto,PNR - Línea 145,Línea 145,Protex,2020-03-28 03:28,Si,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,14
2020-03-28,15:21,6535255505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-28 15:19,Si,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Hombre,,06
2020-03-30,23:34,545255505,Emergencia,Ciudadano,No,Trata,Explotación laboral,Neuquén,Plottier,PNR - Línea 145,Línea 145,Protex,2020-03-30 23:31,No,Gendarmería Nacional Argentina,2020-03-30 23:31,Si,,,,,Buenos Aires,San Pedro,Denunciante - ciudadano,Por Recomendación,Hombre,,58
2020-03-30,23:37,1545255505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-03-30 23:36,Si,,,,,,,,,,,,,,06
2020-03-30,23:42,2545255505,Urgencia,Ciudadano,No,Trata,Ofrecimiento,Buenos Aires,Moreno,PNR - Línea 145,Línea 145,Protex,2020-03-30 23:39,Si,Comisarías,2020-04-01 15:07,No,,,,Argentina,Buenos Aires,El Jagüel,Denunciante - ciudadano,"No sabe, no recuerda",Mujer,,06
2020-03-31,18:51,4545255505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Protex,2020-03-31 18:44,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,06
2020-03-31,18:59,5545255505,Urgencia,Ciudadano,No,Trata,Privación de la libertad,Buenos Aires,Moreno,PNR - Línea 145,Línea 145,Protex,2020-03-31 18:52,No,Comisarías,2020-04-01 15:24,No,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,06
2020-03-31,19:40,6545255505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Protex,2020-03-31 19:03,No,,,,,,,,,,Denunciante - ciudadano,Por Recomendación,Mujer,,06
2020-04-01,15:31,8455255505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Córdoba,Córdoba,PNR - Línea 145,Línea 145,Protex,2020-04-01 15:27,No,,,,,,,,,,,,,,14
2020-04-01,16:38,9455255505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,25 de Mayo,PNR - Línea 145,Correo Institucional,Protex,2020-04-01 16:09,No,,,,,,,,Buenos Aires,25 deMayo,Denunciante - ciudadano,no informa,,39,06
2020-04-01,22:41,1555255505,Emergencia,Ciudadano,No,Trata,Explotación laboral,Río Negro,Mainque,PNR - Línea 145,Línea 145,Protex,2020-04-01 22:33,No,Gendarmería Nacional Argentina,2020-04-01 22:33,No,,,,,,,,,,,62
2020-04-03,08:48,8465255505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Salta,Salta,PNR - Línea 145,Línea 145,Protex,2020-04-03 08:44,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,66
2020-04-03,11:01,565255505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Salta,General Enrique Mosconi,PNR - Línea 145,Línea 145,,,,,,,,,,,Salta,General Enrique Mosconi,Denunciante - ciudadano,Por Recomendación,Mujer,,66
2020-04-03,12:31,1565255505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-04-03 12:30,No,Policía Federal Argentina,2020-04-03 12:55,No,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Hombre,,06
2020-04-03,16:43,8475255505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,Protex,2020-06-24 11:24,Si,,,,,,,,,,Denunciante - ciudadano,Por Recomendación,Mujer,,
2020-04-03,16:47,9475255505,Urgencia,Ciudadano,No,Trata,Violencia familiar,Buenos Aires,José C. Paz,PNR - Línea 145,Línea 145,Comisarías,2020-04-03 16:36,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Mujer,65,06
2020-04-03,21:04,2575255505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-04-03 21:00,No,,,,,,,,,,,,,,02
2020-04-05,15:12,9494355505,Urgencia,Ciudadano,Si,Trata,Posible captación,,,PNR - Línea 145,Línea 145,Protex,2020-04-05 14:28,Si,,,,,,,,,,,,,,
2020-04-06,15:45,3505355505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Protex,2020-04-06 16:07,No,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Hombre,,82
2020-04-06,19:58,5505355505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,José C. Paz,PNR - Línea 145,Línea 145,Protex,2020-04-06 19:51,No,,,,,,,,,,Denunciante - ciudadano,Por Recomendación,Mujer,24,06
2020-04-06,22:57,6505355505,Urgencia,Ciudadano,Si,Trata,Abuso sexual infantil,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Comisarías,2020-04-06 22:41,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,82
2020-04-07,13:11,8415355505,Urgencia,Ciudadano,No,Trata,Servidumbre doméstica,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-04-07 13:20,No,,,,,,,Paraguay,Buenos Aires,Caseros,Denunciante - ciudadano,Por Recomendación,Mujer,57,06
2020-04-07,23:23,3515355505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Mendoza,Avenida Colón,PNR - Línea 145,Línea 145,,,,,,,,,,,,,Denunciante - ciudadano,Por Recomendación,Hombre,,50
2020-04-08,00:10,5515355505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-04-07 23:55,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,06
2020-04-08,01:27,6515355505,Urgencia,Ciudadano,No,Trata,Pornografía infantil,,,PNR - Línea 145,Línea 145,Protex,2020-04-08 01:19,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,
2020-04-08,12:22,1525355505,Urgencia,Ciudadano,No,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,Protex,2020-04-08 12:07,No,,,,,,,Argentina,Buenos Aires,La Plata,Denunciante - ciudadano,,Mujer,25,
2020-04-08,14:46,3525355505,Urgencia,Ciudadano,No,Trata,Estupro,Buenos Aires,Mar del Tuyú,PNR - Línea 145,Línea 145,,,,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Mujer,,06
2020-04-08,15:18,4525355505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Protex,2020-04-08 15:16,No,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Hombre,,82
2020-04-09,11:56,7525355505,Emergencia,Ciudadano,No,Trata,Explotación laboral,Corrientes,Estación Torrent,PNR - Línea 145,Línea 145,Protex,2020-04-09 11:53,No,Gendarmería Nacional Argentina,2020-04-09 11:53,Si,,,,,,,,,,,18
2020-04-09,19:04,3535355505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-04-09 18:27,Si,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,,47,06
2020-04-10,11:31,5535355505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,liniers,PNR - Línea 145,Línea 145,,,,,,,,,,,,,,,,,06
2020-04-10,16:09,6535355505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Morón,PNR - Línea 145,Línea 145,Protex,2020-04-10 16:45,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,06
2020-04-11,08:56,8445355505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Neuquén,Neuquén,PNR - Línea 145,Línea 145,Protex,2020-04-11 08:52,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",,,58
2020-04-11,09:54,545355505,Urgencia,Ciudadano,Si,Trata,Explotación laboral,Mendoza,San Rafael,PNR - Línea 145,Línea 145,Protex,2020-04-11 11:47,No,Gendarmería Nacional Argentina,2020-04-11 11:47,Si,,,,,Santiago del Estero,Santiago del Estero,Denunciante - ciudadano,"No sabe, no recuerda",Mujer,,50
2020-04-11,16:48,2545355505,Urgencia,Ciudadano,Si,Trata,Pornografía infantil,San Luis,Merlo,PNR - Línea 145,Línea 145,Protex,2020-04-11 16:43,No,,,,,,,,San Luis,Merlo,Denunciante - ciudadano,Por publicidad en internet,Mujer,53,74
2020-04-12,12:03,7545355505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Corrientes,Colonia Santa Rosa,PNR - Línea 145,Línea 145,Protex,2020-04-12 11:48,No,Gendarmería Nacional Argentina,2020-04-12 11:48,No,,,,Argentina,,,Denunciante - ciudadano,Por Carteles en Vía Pública,Hombre,,18
2020-04-12,19:38,555355505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Santa Fe,Casilda,PNR - Línea 145,Línea 145,Protex,2020-04-12 19:01,Si,,,,,,,,,,,,,,82
2020-04-12,20:47,2555355505,Urgencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Córdoba,Córdoba,PNR - Línea 145,Línea 145,Protex,2020-04-12 20:41,No,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Hombre,55,14
2020-04-13,14:27,4565355505,Urgencia,Ciudadano,No,Trata,No refiere,Buenos Aires,Mar del Plata,PNR - Línea 145,Línea 145,Protex,2020-04-13 14:19,No,Fiscalía Federal N 1 de Mar del Plata a cargo de la Dra. Mazaferri,2020-04-13 15:07,No,,,,,,,Denunciante - ciudadano,Línea 145,Hombre,,06
2020-04-13,16:51,6565355505,Emergencia,Ciudadano,Si,Trata,Explotación laboral,Buenos Aires,Villa Celina,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-04-13 18:02,No,,,,,,,,,,Denunciante - ciudadano,Derivado de otro organismo,Hombre,,06
2020-04-13,18:19,7565355505,Emergencia,Ciudadano,Si,Trata,Explotación laboral,Santa Fe,Joséfina,PNR - Línea 145,Línea 145,Protex,2020-04-13 18:13,No,Gendarmería Nacional Argentina,2020-04-13 19:03,No,,,,,,,Denunciante - ciudadano,Por publicidad en TV,Mujer,45,82
2020-04-13,19:42,8475355505,Emergencia,Ciudadano,No,Trata,Explotación laboral,Buenos Aires,Lomas del Mirador,PNR - Línea 145,Línea 145,Policía Federal Argentina,2020-04-13 20:19,No,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,Hombre,,06
2020-04-13,19:59,9475355505,Emergencia,Ciudadano,No,Trata,Explotación laboral,Mendoza,San Rafael,PNR - Línea 145,Línea 145,Juzgado / Fiscalía,2020-04-13 20:14,No,,,,,,,,,,,,,,50
2020-04-13,22:37,575355505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-04-13 22:40,No,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,,,06
2020-04-13,23:55,1575355505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-04-13 23:52,No,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,,,06
2020-04-15,23:16,2584455505,Urgencia,Ciudadano,Si,Trata,"Explotación laboral niñas, niños y adolescentes",Santa Fe,Joséfina,PNR - Línea 145,Línea 145,Protex,2020-04-15 23:05,No,,,,,,,,,,,,,,82
2020-04-16,13:48,7584455505,Urgencia,Ciudadano,No,Trata,Grooming,Buenos Aires,Berisso,PNR - Línea 145,Línea 145,Protex,2020-04-16 13:46,Si,,,,,,,,,,,,,,06
2020-04-16,16:50,9494455505,Urgencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",,,PNR - Línea 145,Línea 145,Protex,2020-06-24 16:29,Si,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,,,
2020-04-16,19:32,594455505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Salta,Cerrillos,PNR - Línea 145,Línea 145,Protex,2020-06-24 16:29,Si,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,,,66
2020-04-16,19:33,1594455505,Emergencia,Ciudadano,No,Trata,"Explotación laboral, explotación laboral niñas, niños y adolescentes",Santa Fe,Josefina,PNR - Línea 145,Línea 145,Protex,2020-04-16 18:55,No,Gendarmería Nacional Argentina,2020-04-16 18:55,Si,,,,,,,,,,,82
2020-04-17,08:32,2594455505,Urgencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,Lomas del Mirador,PNR - Línea 145,Línea 145,Protex,2020-04-17 08:31,Si,,,,,,,,,,Denunciante - ciudadano,Por publicidad en internet,,,06
2020-04-17,17:10,9405455505,Emergencia,Institución,No,Trata,"Explotación sexual niñas, niños y adolescentes",Río Negro,Viedma,PNR - Línea 145,Línea 145,Protex,2020-04-17 17:52,No,Gendarmería Nacional Argentina,2020-04-17 18:09,No,,,,,Río Negro,Viedma,Denunciante - ciudadano,Derivado de otro organismo,Mujer,,62
2020-04-17,18:55,505455505,Urgencia,Ciudadano,No,Trata,Grooming,Buenos Aires,Florencio Varela,PNR - Línea 145,Línea 145,Protex,2020-04-17 18:45,No,,,,,,,,,,,,,,06
2020-04-18,09:24,2505455505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Buenos Aires,Ezeiza,PNR - Línea 145,Línea 145,Protex,2020-04-18 09:18,Si,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Hombre,,06
